127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000457
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000846
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001631
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000950
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000462
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002722
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001231
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001702
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002753
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.003326
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001308
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000673
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000503
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001366
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001337
